country,year,item,r,n,survey,cc_rank
United States,2015,belief3,1,432.983549482191,ypccc_combo,938
United States,2015,belief3,2,470.245227378314,ypccc_combo,938
United States,2015,belief3,3,1689.7712231395,ypccc_combo,938
United States,2015,cause4,1,225.309503912327,ypccc_combo,938
United States,2015,cause4,2,838.135875129394,ypccc_combo,938
United States,2015,cause4,3,121.476657507362,ypccc_combo,938
United States,2015,cause4,4,1363.48766023075,ypccc_combo,938
United States,2015,concern4,1,452.565387285273,ypccc_combo,938
United States,2015,concern4,2,720.678203470563,ypccc_combo,938
United States,2015,concern4,3,1065.16526758285,ypccc_combo,938
United States,2015,concern4,4,354.591141661317,ypccc_combo,938
United States,2015,discuss4,1,873.067859676015,ypccc_combo,938
United States,2015,discuss4,2,924.508747715521,ypccc_combo,938
United States,2015,discuss4,3,686.665133891132,ypccc_combo,938
United States,2015,discuss4,4,108.758258717332,ypccc_combo,938
United States,2015,harm4,1,588.350829342553,ypccc_combo,938
United States,2015,harm4,2,674.294907597306,ypccc_combo,938
United States,2015,harm4,3,686.11271676771,ypccc_combo,938
United States,2015,harm4,4,318.117762980482,ypccc_combo,938
United States,2015,harm_dev4,1,357.008708598539,ypccc_combo,938
United States,2015,harm_dev4,2,389.233012034837,ypccc_combo,938
United States,2015,harm_dev4,3,689.405239109444,ypccc_combo,938
United States,2015,harm_dev4,4,786.214737701169,ypccc_combo,938
United States,2015,harm_future4,1,291.735642309878,ypccc_combo,938
United States,2015,harm_future4,2,238.333101564264,ypccc_combo,938
United States,2015,harm_future4,3,517.266276281543,ypccc_combo,938
United States,2015,harm_future4,4,1203.80529199543,ypccc_combo,938
United States,2015,harm_nature4,1,151.438195799489,ypccc_combo,938
United States,2015,harm_nature4,2,153.279373444659,ypccc_combo,938
United States,2015,harm_nature4,3,273.546275679414,ypccc_combo,938
United States,2015,harm_nature4,4,547.884311125621,ypccc_combo,938
United States,2015,harm_us4,1,395.05701301229,ypccc_combo,938
United States,2015,harm_us4,2,492.446870079796,ypccc_combo,938
United States,2015,harm_us4,3,827.941194899039,ypccc_combo,938
United States,2015,harm_us4,4,538.955488842523,ypccc_combo,938
United States,2015,media5,1,159.403240672635,ypccc_combo,938
United States,2015,media5,2,214.375527438176,ypccc_combo,938
United States,2015,media5,3,724.761806373692,ypccc_combo,938
United States,2015,media5,4,568.132648864073,ypccc_combo,938
United States,2015,media5,5,572.534082460238,ypccc_combo,938
